x	yield	xf	
74.7715	1.31087e-32	25.4453	
75.5607	6.05174e-33	25.4453	
76.3582	2.77073e-33	25.4453	
77.1642	1.25793e-33	25.4453	
77.9786	5.66273e-34	25.4453	
78.8016	2.52736e-34	25.4453	
79.6333	1.11825e-34	25.4453	
80.4738	4.90466e-35	25.4453	
81.3232	2.13222e-35	25.4453	
82.1815	9.18684e-36	25.4453	
83.0489	3.92256e-36	25.4453	
83.9255	1.65903e-36	25.4453	
84.8113	6.91901e-37	25.4453	
85.7064	2.86443e-37	25.4453	
86.611	1.17661e-37	25.4453	
87.5252	4.78034e-38	25.4453	
88.449	1.92365e-38	25.4453	
89.3825	7.66621e-39	25.4453	
90.3259	3.02537e-39	25.4453	
91.2792	1.1837e-39	25.4453	
92.2427	4.57894e-40	25.4453	
93.2162	1.75341e-40	25.4453	
94.2001	6.65425e-41	25.4453	
95.1943	2.49606e-41	25.4453	
96.1991	9.2656e-42	25.4453	
97.2144	3.40742e-42	25.4453	
98.2405	1.2382e-42	25.4453	
99.2774	4.45105e-43	25.4453	
100.325	1.58453e-43	25.4453	
101.384	5.57224e-44	25.4453	
102.454	1.94009e-44	25.4453	
103.535	6.67118e-45	25.4453	
104.628	2.27054e-45	25.4453	
105.733	7.63047e-46	25.4453	
106.849	2.53749e-46	25.4453	
107.976	8.33048e-47	25.4453	
109.116	2.70551e-47	25.4453	
110.268	8.67216e-48	25.4453	
111.431	2.74916e-48	25.4453	
112.608	8.59948e-49	25.4453	
113.796	2.65966e-49	25.4453	
114.997	8.12337e-50	25.4453	
116.211	2.44729e-50	25.4453	
117.437	7.28658e-51	25.4453	
118.677	2.1416e-51	25.4453	
119.93	6.20625e-52	25.4453	
121.195	1.77679e-52	25.4453	
122.474	5.01923e-53	25.4453	
123.767	1.39748e-53	25.4453	
125.073	3.84199e-54	25.4453	
126.394	1.04179e-54	25.4453	
127.728	2.78585e-55	25.4453	
129.076	7.33866e-56	25.4453	
130.438	1.90769e-56	25.4453	
131.815	4.88824e-57	25.4453	
133.206	1.23448e-57	25.4453	
134.612	3.07215e-58	25.4453	
136.033	7.52623e-59	25.4453	
137.468	1.818e-59	25.4453	
138.919	4.32542e-60	25.4453	
140.386	1.01347e-60	25.4453	
141.867	2.33813e-61	25.4453	
143.365	5.31067e-62	25.4453	
144.878	1.18733e-62	25.4453	
146.407	2.61251e-63	25.4453	
147.952	5.6516e-64	25.4453	
149.514	1.20383e-64	25.4453	
151.092	2.52234e-65	25.4453	
152.687	5.19792e-66	25.4453	
154.298	1.05328e-66	25.4453	
155.927	2.0983e-67	25.4453	
157.572	4.10891e-68	25.4453	
159.236	7.90753e-69	25.4453	
160.916	1.49537e-69	25.4453	
162.615	2.77818e-70	25.4453	
164.331	5.06975e-71	25.4453	
166.065	9.0854e-72	25.4453	
167.818	1.59864e-72	25.4453	
169.589	2.76139e-73	25.4453	
171.379	4.68504e-74	25.4453	
173.188	7.79443e-75	25.4453	
175.016	1.27222e-75	25.4453	
176.863	2.03686e-76	25.4453	
178.73	3.1981e-77	25.4453	
180.616	4.92366e-78	25.4453	
182.523	7.43097e-79	25.4453	
184.449	1.09917e-79	25.4453	
186.396	1.59313e-80	25.4453	
188.363	2.26353e-81	25.4453	
190.351	3.14799e-82	25.4453	
192.36	4.2874e-83	25.4453	
194.391	5.71669e-84	25.4453	
196.442	7.46086e-85	25.4453	
198.516	9.52857e-86	25.4453	
200.611	1.19127e-86	25.4453	
202.728	1.456e-87	25.4453	
204.868	1.74027e-88	25.4453	
207.03	2.0336e-89	25.4453	
209.216	2.32398e-90	25.4453	
211.424	2.59386e-91	25.4453	
213.655	2.82845e-92	25.4453	
215.91	3.01266e-93	25.4453	
218.189	3.13497e-94	25.4453	
220.492	3.18307e-95	25.4453	
222.819	3.1543e-96	25.4453	
225.171	3.04995e-97	25.4453	
227.548	2.8783e-98	25.4453	
229.949	2.6478e-99	25.4453	
232.376	2.3748e-100	25.4453	
234.829	2.077e-101	25.4453	
237.307	1.76931e-102	25.4453	
239.812	1.46833e-103	25.4453	
242.343	1.18734e-104	25.4453	
244.901	9.34407e-106	25.4453	
247.486	7.15768e-107	25.4453	
250.098	5.3374e-108	25.4453	
252.738	3.87025e-109	25.4453	
255.405	2.73054e-110	25.4453	
258.101	1.87227e-111	25.4453	
260.825	1.24776e-112	25.4453	
263.578	8.08279e-114	25.4453	
266.36	5.08409e-115	25.4453	
269.171	3.10653e-116	25.4453	
272.012	1.84217e-117	25.4453	
274.883	1.06013e-118	25.4453	
277.784	5.9206e-120	25.4453	
280.716	3.20576e-121	25.4453	
283.679	1.6834e-122	25.4453	
286.673	8.56577e-124	25.4453	
289.699	4.22427e-125	25.4453	
292.757	2.01715e-126	25.4453	
295.847	9.32625e-128	25.4453	
298.969	4.1747e-129	25.4453	
302.125	1.80771e-130	25.4453	
305.313	7.57366e-132	25.4453	
308.536	3.06727e-133	25.4453	
311.792	1.20096e-134	25.4453	
315.083	4.54223e-136	25.4453	
318.409	1.65967e-137	25.4453	
321.769	5.85423e-139	25.4453	
325.165	1.99346e-140	25.4453	
328.597	6.54762e-142	25.4453	
332.066	2.07448e-143	25.4453	
335.57	6.33502e-145	25.4453	
339.112	1.86474e-146	25.4453	
342.691	5.2878e-148	25.4453	
346.308	1.44358e-149	25.4453	
349.964	3.794e-151	25.4453	
353.657	9.59226e-153	25.4453	
357.39	2.3328e-154	25.4453	
361.162	5.45378e-156	25.4453	
364.974	1.22543e-157	25.4453	
368.826	2.64447e-159	25.4453	
372.719	5.48004e-161	25.4453	
376.653	1.08988e-162	25.4453	
380.628	2.07922e-164	25.4453	
384.646	3.80428e-166	25.4453	
388.705	6.6707e-168	25.4453	
392.808	1.12074e-169	25.4453	
396.954	1.80294e-171	25.4453	
401.144	2.77645e-173	25.4453	
405.377	4.091e-175	25.4453	
409.656	5.7639e-177	25.4453	
413.98	7.76289e-179	25.4453	
418.349	9.98856e-181	25.4453	
422.765	1.22719e-182	25.4453	
427.227	1.43922e-184	25.4453	
431.736	1.61019e-186	25.4453	
436.293	1.71782e-188	25.4453	
440.898	1.74655e-190	25.4453	
445.551	1.69139e-192	25.4453	
450.254	1.55953e-194	25.4453	
455.006	1.36842e-196	25.4453	
459.808	1.14191e-198	25.4453	
464.661	9.05827e-201	25.4453	
469.566	6.82659e-203	25.4453	
474.522	4.88494e-205	25.4453	
479.53	3.31758e-207	25.4453	
484.591	2.13715e-209	25.4453	
489.706	1.30505e-211	25.4453	
494.875	7.55056e-214	25.4453	
500.098	4.13648e-216	25.4453	
505.376	2.14451e-218	25.4453	
510.71	1.05161e-220	25.4453	
516.101	4.87444e-223	25.4453	
521.548	2.13439e-225	25.4453	
527.053	8.82366e-228	25.4453	
532.615	3.44177e-230	25.4453	
538.237	1.26597e-232	25.4453	
543.918	4.3883e-235	25.4453	
549.659	1.43259e-237	25.4453	
555.46	4.40174e-240	25.4453	
561.323	1.27213e-242	25.4453	
567.247	3.45581e-245	25.4453	
573.234	8.81907e-248	25.4453	
579.284	2.11272e-250	25.4453	
585.399	4.74819e-253	25.4453	
591.577	1.00039e-255	25.4453	
597.821	1.97462e-258	25.4453	
604.131	3.6491e-261	25.4453	
610.507	6.30886e-264	25.4453	
616.951	1.01972e-266	25.4453	
623.462	1.53979e-269	25.4453	
