Temp	omega_1
164.9650418314156	139.2506724352173
164.0550816272627	141.7013446177217
164.0	141.8494423668448
163.6363636363636	142.7971225765844
163.1268054887309	144.0850434494852
163.0	144.4024645170289
162.1532385618165	146.491530077442
162.0	146.8640363519403
161.1532385618165	148.8928227925473
161.0	149.2547359590411
160.1532385618165	151.2266256201016
160.0	151.5785266789335
159.1532385618165	153.496573489362
159.0	153.8389886840026
158.1532385618165	155.7059644129356
158.0	156.0393720378642
157.1532385618165	157.8578015978239
157.0	158.1826382877823
156.1532385618165	159.9548293102796
156.0	160.2714946784738
155.1532385618165	161.9995635383194
155.0	162.3084245016776
154.5242419220009	163.259949194352
154.1532385618165	163.9943170408069
154.0	164.2957116731168
153.1532385618165	165.9412225320011
153.0	166.2354629721516
152.1532385618165	167.8422512789666
152.0	168.1296263697868
151.1532385618165	169.6992299419701
151.0	169.9800078352584
150.1532385618165	171.5138548930686
150.0	171.7882848162746
149.1532385618165	173.2877049720595
149.0	173.5560191769324
148.1532385618165	175.0222524763484
148.0	175.2846678805203
147.1532385618165	176.7188731759908
147.0	176.9755925957917
146.1532385618165	178.3788547937281
146.0	178.6300682011628
145.1532385618165	180.0034045517815
145.0	180.2492903746644
144.1532385618165	181.5936563501508
144.0	181.8343823266503
143.1532385618165	183.1506765263811
143.0	183.3864002776732
142.1532385618165	184.6754695969725
142.0	184.9063399890344
141.1532385618165	186.1689828792161
141.0	186.3951403293498
140.1532385618165	187.6321112272534
140.0	187.8536883803226
139.1532385618165	189.0657005883932
139.0718177298008	189.1811483320614
139.0	189.2828230757717
138.1532385618165	190.4705519881853
138.0	190.6833388698432
137.1532385618165	191.8474247667147
137.0	192.0559887413924
136.3636363636364	192.9153130837174
136.1532385618165	193.1970392668603
136.0	193.401487570976
135.1532385618165	194.5200796929777
135.0	194.7205141305027
134.1532385618165	195.8171966670562
134.0	196.0137141092397
133.1532385618165	197.0890094544666
133.0	197.2817021311344
132.1532385618165	198.3361078156875
132.0	198.5250636172858
131.1532385618165	199.5590541357585
131.0	199.7443569633333
130.1532385618165	200.7583850982248
130.0	200.940115032659
129.1532385618165	201.934613270944
129.0	202.112846820834
128.1532385618165	203.0882286082724
128.0	203.2630389347538
127.1532385618165	204.2196997805272
127.0	204.3911568803215
126.1532385618165	205.3294754381604
126.0	205.4976463996698
125.1532385618165	206.4179855222373
125.0	206.5829345653752
124.1532385618165	207.4856421336468
124.0	207.6474309793061
123.6193935376007	208.0472048944681
123.1532385618165	208.5328406976322
123.0	208.6915285260906
122.1532385618165	209.5599609504315
122.0	209.7156045925411
121.1532385618165	210.5673676723081
121.0	210.720021774183
120.1532385618165	211.555411592383
120.0	211.7051287334882
119.1532385618165	212.5244302952224
119.0	212.671261024204
118.1532385618165	213.4747487271477
118.0	213.6187417895743
117.1532385618165	214.4066798953296
117.0	214.5478822816942
116.1532385618165	215.32052580357
116.0	215.4589828432758
115.1532385618165	216.2165777560885
115.0	216.3523331993015
114.1532385618165	217.0951170818604
114.0	217.2282131354766
113.1532385618165	217.9564156185023
113.0	218.0868931412259
112.1532385618165	218.8007362851327
112.0	218.9286348370466
111.1532385618165	219.6283335689292
111.0	219.7536914537118
110.1532385618165	220.439454069358
110.0	220.562308362088
109.1532385618165	221.2343368279559
109.0909090909091	221.2833491572506
109.0	221.3547236018338
108.1669693454006	222.0026267265633
108.1532385618165	222.0132139635277
108.0	222.1311680763071
107.1532385618165	222.7763109005643
107.0	222.891866404485
106.1532385618165	223.5238468707067
106.0	223.637036838574
105.1532385618165	224.2388130121558
105.0	224.3407996722194
104.1532385618165	224.9013737893674
104.0	225.0022644535451
103.1532385618165	225.5565432368125
103.0	225.6562528363763
